study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
cushion,0,0,0,1.5230125523012552,1.8804036250003264,,,,,,,,,,,,0,0,0,1,,,,,0.03949537500011502,,0.02156466700398596,0.03949537500011502,0.03949537500011502,1.9114493340021,1.5230125523012552,1.8804036250003264,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
Pastry,1,1,0,1.5230125523012552,2.53737016699597,,,,,,,,,,,,0,1,1,9,,,,,1.9211956670042127,,1.9149402500042925,1.9211956670042127,1.9211956670042127,4.4614555000007385,1.5230125523012552,2.53737016699597,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
phone,2,2,0,1.5313807531380754,1.4548037499989732,,,,,,,,,,,,0,2,2,2,,,,,4.470281624999188,,4.464293208999152,4.470281624999188,4.470281624999188,5.928542334004305,1.5313807531380754,1.4548037499989732,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
mouse,3,3,0,1.5397489539748954,1.7053949170003762,,,,,,,,,,,,0,3,3,8,,,,,5.936300584005949,,5.930304749999777,5.936300584005949,5.936300584005949,7.64492466700176,1.5397489539748954,1.7053949170003762,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
Laptop,4,4,0,1.5564853556485356,1.0218495419976534,,,,,,,,,,,,0,4,4,5,,,,,7.653466042000218,,7.647338750000927,7.653466042000218,7.653466042000218,8.678175667002506,1.5564853556485356,1.0218495419976534,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
Cruise,5,5,0,1.5523012552301256,3.588806042003853,,,,,,,,,,,,0,5,5,11,,,,,8.686116374999983,,8.680025166999258,8.686116374999983,8.686116374999983,12.278213709003467,1.5523012552301256,3.588806042003853,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
book,6,6,0,1.5523012552301256,0.8732468750022235,,,,,,,,,,,,0,6,6,0,,,,,12.286491250000836,,12.279897792002885,12.286491250000836,12.286491250000836,13.161506625001493,1.5523012552301256,0.8732468750022235,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
Chart,7,7,0,1.5523012552301256,0.9562164170056349,,,,,,,,,,,,0,7,7,6,,,,,13.169210000000021,,13.163222584000323,13.169210000000021,13.169210000000021,14.127759916998912,1.5523012552301256,0.9562164170056349,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
Case,8,8,0,1.5564853556485356,0.7742706249991897,,,,,,,,,,,,0,8,8,10,,,,,14.135300500005542,,14.129437167001015,14.135300500005542,14.135300500005542,14.91149308400054,1.5564853556485356,0.7742706249991897,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
board,9,9,0,1.5732217573221758,1.371924917002616,,,,,,,,,,,,0,9,9,4,,,,,14.920252791998792,,14.914069042002666,14.920252791998792,14.920252791998792,16.294880625006044,1.5732217573221758,1.371924917002616,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
Keys ,10,10,0,1.5774058577405858,0.804577959002927,,,,,,,,,,,,0,10,10,13,,,,,16.30354250000528,,16.297313750001194,16.30354250000528,16.30354250000528,17.111476500002027,1.5774058577405858,0.804577959002927,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
T-shirt,11,11,0,2.4435146443514646,1.0883995840049465,,,,,,,,,,,,0,11,11,7,,,,,17.120033999999578,,17.114184042002307,17.120033999999578,17.120033999999578,18.2119398750001,2.4435146443514646,1.0883995840049465,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_11h04.16.466,WordPriming,,2025.1.1,121.11987338717293,2025-10-16 11h04.23.664480 +0530,
