stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.013042875012615696,,0.00801941700046882,0.013042875012615696,0.49822158401366323,0.49822158401366323,0.500923417013837,0.7898132920090575,1.3744242920074612,left,-10.0,1,1,0.6845207080041291,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
1,2,8.0,1.386304209008813,,1.3745687500049826,1.386304209008813,1.8735284170106752,1.8735284170106752,1.8851155000011204,2.171972584008472,2.386902459009434,right,8.0,1,1,0.5041180830012308,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
2,2,6.0,2.394145666999975,,2.3872722500091186,2.394145666999975,2.8852829590032343,2.8852829590032343,2.890029084010166,3.1717555000068387,3.320046834007371,left,-6.0,1,1,0.42037104100745637,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
3,2,4.0,3.326900125000975,,3.320398167008534,3.326900125000975,3.8186870420031482,3.8186870420031482,3.822698209012742,4.111040209012572,4.103620542009594,right,4.0,1,1,0.2780573330092011,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
4,2,2.0,4.111040209012572,,4.1039897090086015,4.111040209012572,4.6019812090089545,4.6019812090089545,4.606162875003065,4.889273500011768,5.036980167002184,right,2.0,1,1,0.42774929200822953,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
5,2,1.0,5.053202084003715,,5.03736695900443,5.053202084003715,5.535353875005967,5.535353875005967,5.551739500006079,5.822693917012657,5.85341129200242,right,1.0,1,1,0.3163442500081146,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
6,2,1.0,5.86024075000023,,5.85375500000373,5.86024075000023,6.351805500002229,6.351805500002229,6.355530500004534,6.639479167002719,6.870104959001765,left,-1.0,1,1,0.5167129580077017,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
7,1,1.0,6.877209917001892,,6.870439959006035,6.877209917001892,7.368778167001437,7.368778167001437,7.373523459013086,7.655479749999358,7.6700804170104675,left,-1.0,0,0,0.289972166006919,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
8,1,2.0,7.677532500005327,,7.670479834006983,7.677532500005327,8.168618792013149,8.168618792013149,8.172917709001922,8.45530412500375,8.636923125013709,right,2.0,1,1,0.4620200829958776,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
9,1,2.0,8.644396042000153,,8.637315250001848,8.644396042000153,9.135264374999679,9.135264374999679,9.13903908400971,,9.38689287500165,right,2.0,0,0,0.24546645800000988,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
10,1,3.0,9.393955209001433,,9.387283459000173,9.393955209001433,9.885322625006665,9.885322625006665,9.890302667001379,10.171695917000761,10.286834042010014,right,3.0,0,0,0.39722741600417066,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
11,1,4.0,10.293936084010056,,10.287170625000726,10.293936084010056,10.785230000008596,10.785230000008596,10.788930167007493,11.072038959013298,11.223339125004713,left,-4.0,0,0,0.4353201670019189,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
12,1,5.0,11.23536529201374,,11.223600459008594,11.23536529201374,11.72257341700606,11.72257341700606,11.72257341700606,12.018665000010515,12.304016917012632,left,-5.0,1,1,0.5789474999910453,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
13,1,5.0,12.31147475000762,,12.304350000005797,12.31147475000762,12.801950625012978,12.801950625012978,12.806110417004675,13.089230292011052,13.270707875009975,right,5.0,1,1,0.4544574159954209,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
14,1,5.0,13.278601084006368,,13.271138334006537,13.278601084006368,13.768771292001475,13.768771292001475,13.77343029199983,14.054860750009539,14.287529292007093,left,-5.0,1,1,0.5087549159943592,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
15,1,4.0,14.295504167006584,,14.288069959002314,14.295504167006584,14.785254959002486,14.785254959002486,14.789119459004723,15.071663375012577,15.286420750009711,right,4.0,1,1,0.4881450410030084,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
16,1,4.0,15.293094542008475,,15.28672612500668,15.293094542008475,15.785112375000608,15.785112375000608,15.789056917012203,16.07164166700386,16.320714667002903,right,4.0,1,1,0.5244595409894828,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
17,1,4.0,16.32855883400771,,16.32114895900304,16.32855883400771,16.818493750004563,16.818493750004563,16.822147500002757,17.10508579200541,17.273428709013388,left,-4.0,1,1,0.4529122499952791,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
18,1,3.0,17.28533820901066,,17.273686125001404,17.28533820901066,17.768733250006335,17.768733250006335,17.773760292009683,18.054925917007495,18.15348783400259,right,3.0,1,1,0.3826878330000909,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
19,1,3.0,18.16079437501321,,18.153817667000112,18.16079437501321,18.651887833999353,18.651887833999353,18.655987875012215,18.93833087501116,19.203981709011714,left,-3.0,1,1,0.5384959579969291,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
20,0.5,3.0,19.212121042000945,,19.204411084007006,19.212121042000945,19.70204979200207,19.70204979200207,19.70706975000212,19.989049792013247,20.15631750000466,right,3.0,0,0,0.45223270800488535,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
21,0.5,3.5,20.1687135000102,,20.15657537500374,20.1687135000102,20.65734266700747,20.65734266700747,20.65734266700747,20.955783709010575,21.37077891700028,left,-3.5,1,1,0.7079708329983987,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
22,0.5,3.5,21.378177083999617,,21.371261959007825,21.378177083999617,21.868595834006555,21.868595834006555,21.87262816700968,22.155972500011558,22.38752304200898,right,3.5,1,1,0.516631625010632,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
23,0.5,3.5,22.39517116700881,,22.387954584002728,22.39517116700881,22.885355125006754,22.885355125006754,22.889360291999765,23.17241720900347,23.25339879200328,right,3.5,1,1,0.36398345800989773,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
24,0.5,3.0,23.260504917008802,,23.25378420900961,23.260504917008802,23.752038625010755,23.752038625010755,23.75617558399972,24.038315500001772,24.087307625013636,left,-3.0,0,0,0.3262848330050474,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
