thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.05333333333333334)],[np.float64(-0.44333333333333336)],[1],[0],[0],[1.7928128329949686],['target'],0,0,0,0,0.07427120799547993,,5,0.06260575000487734,0.07427120799547993,0.07427120799547993,0.0626242089929292,1.855469540998456,[np.float64(-0.05333333333333334)],[np.float64(-0.44333333333333336)],[1],[0],[0],[1.7928128329949686],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
1,0,1,[np.float64(0.09166666666666666)],[np.float64(-0.18)],[1],[0],[0],[1.486500499988324],['target'],1,0,1,0,1.8719689999998081,,5,1.8649923329940066,1.8719689999998081,1.8719689999998081,0.009352167005999945,3.3515414580033394,[np.float64(0.09166666666666666)],[np.float64(-0.18)],[1],[0],[0],[1.486500499988324],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
2,0,2,[np.float64(0.41833333333333333)],[np.float64(-0.4816666666666667)],[1],[0],[0],[1.273971792004886],['target'],2,0,2,0,3.3679346249991795,,5,3.3608318750048056,3.3679346249991795,3.3679346249991795,0.009163374998024665,4.634840707993135,[np.float64(0.41833333333333333)],[np.float64(-0.4816666666666667)],[1],[0],[0],[1.273971792004886],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
3,0,3,[np.float64(0.21333333333333335)],[np.float64(-0.45)],[1],[0],[0],[1.4573935829976108],['target'],3,0,3,0,4.6511955830064835,,5,4.644066624998231,4.6511955830064835,4.6511955830064835,0.009114125001360662,6.101497833005851,[np.float64(0.21333333333333335)],[np.float64(-0.45)],[1],[0],[0],[1.4573935829976108],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
4,0,4,[np.float64(-0.24666666666666667)],[np.float64(-0.41333333333333333)],[1],[0],[0],[1.8403914579976117],['target'],4,0,4,0,6.117356000002474,,5,6.110652666000533,6.117356000002474,6.117356000002474,0.009046250008395873,7.951092290997622,[np.float64(-0.24666666666666667)],[np.float64(-0.41333333333333333)],[1],[0],[0],[1.8403914579976117],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
5,0,5,[np.float64(0.04)],[np.float64(0.4716666666666667)],[1],[0],[0],[1.8907786250056233],['target'],5,0,5,0,7.967506957997102,,5,7.960420457995497,7.967506957997102,7.967506957997102,0.009172624995699152,9.851239540992538,[np.float64(0.04)],[np.float64(0.4716666666666667)],[1],[0],[0],[1.8907786250056233],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
6,0,6,[np.float64(-0.26166666666666666)],[np.float64(-0.41333333333333333)],[1],[0],[0],[1.506867042000522],['target'],6,0,6,0,9.867252500000177,,5,9.860481583004002,9.867252500000177,9.867252500000177,0.00913191599829588,11.367387374993996,[np.float64(-0.26166666666666666)],[np.float64(-0.41333333333333333)],[1],[0],[0],[1.506867042000522],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
7,0,7,[np.float64(-0.36833333333333335)],[np.float64(-0.27)],[1],[0],[0],[2.0909821249952074],['target'],7,0,7,0,11.382905541002401,,5,11.376817665994167,11.382905541002401,11.382905541002401,0.00929566599370446,13.467839457996888,[np.float64(-0.36833333333333335)],[np.float64(-0.27)],[1],[0],[0],[2.0909821249952074],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
8,0,8,[np.float64(0.225)],[np.float64(0.18166666666666667)],[1],[0],[0],[1.7326843750051921],['target'],8,0,8,0,13.494820166000864,,10,13.485536249994766,13.494820166000864,13.494820166000864,0.017584624991286546,15.218264249997446,[np.float64(0.225)],[np.float64(0.18166666666666667)],[1],[0],[0],[1.7326843750051921],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
9,0,9,[np.float64(-0.36666666666666664)],[np.float64(-0.041666666666666664)],[1],[0],[0],[1.1402742500067689],['target'],9,0,9,0,15.2336671249941,,5,15.22765662499296,15.2336671249941,15.2336671249941,0.009245834007742815,16.36797808299889,[np.float64(-0.36666666666666664)],[np.float64(-0.041666666666666664)],[1],[0],[0],[1.1402742500067689],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
10,0,10,[np.float64(0.485)],[np.float64(-0.14666666666666667)],[1],[0],[0],[1.3573307919868967],['target'],10,0,10,0,16.383197916002246,,5,16.377196457993705,16.383197916002246,16.383197916002246,0.00908670799981337,17.734573790992727,[np.float64(0.485)],[np.float64(-0.14666666666666667)],[1],[0],[0],[1.3573307919868967],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
11,0,11,[np.float64(0.03)],[np.float64(0.31333333333333335)],[1],[0],[0],[1.3739048749994254],['target'],11,0,11,0,17.7501592500048,,5,17.74393791600596,17.7501592500048,17.7501592500048,0.009237624995876104,19.11788874999911,[np.float64(0.03)],[np.float64(0.31333333333333335)],[1],[0],[0],[1.3739048749994254],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
12,0,12,[np.float64(-0.4116666666666667)],[np.float64(0.1)],[1],[0],[0],[1.4662439590028953],['target'],12,0,12,0,19.143682207999518,,10,19.135249208004097,19.143682207999518,19.143682207999518,0.017209249999723397,20.601528707993566,[np.float64(-0.4116666666666667)],[np.float64(0.1)],[1],[0],[0],[1.4662439590028953],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
13,0,13,[np.float64(0.15666666666666668)],[np.float64(0.2966666666666667)],[1],[0],[0],[1.4829595829942264],['target'],13,0,13,0,20.627896874997532,,10,20.61881662500673,20.627896874997532,20.627896874997532,0.017154500004835427,22.101813083005254,[np.float64(0.15666666666666668)],[np.float64(0.2966666666666667)],[1],[0],[0],[1.4829595829942264],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
14,0,14,[np.float64(-0.025)],[np.float64(-0.44)],[1],[0],[0],[1.5572056250093738],['target'],14,0,14,0,22.117302500002552,,5,22.11094366600446,22.117302500002552,22.117302500002552,0.008990125003037974,23.668193457997404,[np.float64(-0.025)],[np.float64(-0.44)],[1],[0],[0],[1.5572056250093738],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
15,0,15,[np.float64(0.20833333333333334)],[np.float64(-0.415)],[1],[0],[0],[1.0570445410121465],[None],15,0,15,0,23.684002958005294,,5,23.67731908299902,23.684002958005294,23.684002958005294,0.009018083001137711,24.734400790999644,[np.float64(0.20833333333333334)],[np.float64(-0.415)],[1],[0],[0],[1.0570445410121465],[None],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
16,0,16,[np.float64(-0.36833333333333335)],[np.float64(0.15666666666666668)],[1],[0],[0],[1.2170479170017643],['target'],16,0,16,0,24.760942833003355,,10,24.75160912499996,24.760942833003355,24.760942833003355,0.017101000004913658,25.96868579099828,[np.float64(-0.36833333333333335)],[np.float64(0.15666666666666668)],[1],[0],[0],[1.2170479170017643],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
17,0,17,[np.float64(-0.3983333333333333)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.7826898750063265],['target'],17,0,17,0,25.994706333003705,,10,25.985970499998075,25.994706333003705,25.994706333003705,0.017157249996671453,26.768697874998907,[np.float64(-0.3983333333333333)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.7826898750063265],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
18,0,18,[np.float64(-0.075)],[np.float64(-0.35333333333333333)],[1],[0],[0],[1.215079625006183],['target'],18,0,18,0,26.79508216600516,,10,26.786627374996897,26.79508216600516,26.79508216600516,0.01778704099706374,28.0017513329949,[np.float64(-0.075)],[np.float64(-0.35333333333333333)],[1],[0],[0],[1.215079625006183],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
19,0,19,[np.float64(0.445)],[np.float64(0.06166666666666667)],[1],[0],[0],[1.598811374991783],['target'],19,0,19,0,28.02727804100141,,10,28.01915445800114,28.02727804100141,28.02727804100141,0.017267083007027395,29.618006832999527,[np.float64(0.445)],[np.float64(0.06166666666666667)],[1],[0],[0],[1.598811374991783],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
20,0,20,[np.float64(0.41)],[np.float64(-0.14)],[1],[0],[0],[1.100385625002673],['target'],20,0,20,0,29.64306058299553,,10,29.635140832993784,29.64306058299553,29.64306058299553,0.01696220799931325,30.7355682500056,[np.float64(0.41)],[np.float64(-0.14)],[1],[0],[0],[1.100385625002673],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
