stim01,stim02,stim03,stim04,stim05,stim06,stim07,stim08,stim09,stim10,stim11,stim12,stim13,stim14,stim15,stim16,lag,thisN,thisTrialN,thisRepN,textbox.text,key_resp.keys,key_resp.rt,key_resp.duration,textbox_2.text,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,thisRow.t,notes,instructions.started,instrText.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,fixation.started,item01.started,fixation.stopped,item02.started,item01.stopped,item02.stopped,item03.started,item03.stopped,item04.started,item04.stopped,item05.started,item05.stopped,item06.started,item06.stopped,item07.started,item07.stopped,item08.started,item08.stopped,item09.started,item09.stopped,item10.started,item10.stopped,item11.started,item11.stopped,item12.started,item12.stopped,item13.started,item13.stopped,item14.started,item14.stopped,item15.started,item15.stopped,item16.started,item16.stopped,trial.stopped,T1_response.started,respInstr.started,t1Prompt.started,textbox.started,key_resp.started,T1_response.stopped,trialsLoop.textbox.text,trialsLoop.key_resp.keys,trialsLoop.key_resp.rt,trialsLoop.key_resp.duration,T2_response.started,resplnstr_2.started,t2Prompt.started,textbox_2.started,key_resp_2.started,T2_response.stopped,trialsLoop.textbox_2.text,trialsLoop.key_resp_2.keys,trialsLoop.key_resp_2.rt,trialsLoop.key_resp_2.duration,end.started,thanks.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006246582997846417,0.022496667006635107,0.022496667006635107,2.4880359579983633,space,2.2407253330020467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
G,U,Q,C,6,5,A,Z,E,M,G,M,T,Q,I,X,1,0,0,0,5,return,2.005400081994594,None,"
3",return,1.3239418329903856,None,0,0,0,6,2.5345945419976488,,,,,,,,,2.508833667001454,2.5345945419976488,2.9940269580110908,3.0281617080036085,3.2320189169986406,3.2382674580003368,3.48138545799884,3.48138545799884,3.7312939999974333,3.7312939999974333,3.9811326670023846,3.9811326670023846,4.230609833000926,4.230609833000926,4.482409000003827,4.482409000003827,4.731412916997215,4.731412916997215,4.981467625009827,4.981467625009827,5.231105958009721,5.231105958009721,5.481219667010009,5.481219667010009,5.731908458008547,5.731908458008547,5.981837708008243,5.981837708008243,6.231724292010767,6.231724292010767,6.481318625010317,6.481318625010317,6.731369333007024,6.731369333007024,6.991739792007138,6.973760499997297,6.974289167003008,6.991739792007138,6.991739792007138,6.991739792007138,6.991739792007138,9.00619195800391,5,return,2.005400081994594,None,9.006467541999882,9.01823608300765,9.01823608300765,9.01823608300765,9.01823608300765,10.346105707998504,"
3",return,1.3239418329903856,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
S,X,D,O,2,L,T,F,Z,A,4,A,T,G,I,Z,6,1,1,0,2,return,1.2777301660098601,None,"
4",return,1.0522758750012144,None,0,1,1,2,10.369980458010104,,,,,,,,,10.364455792005174,10.369980458010104,10.847225375007838,10.861257958007627,11.089914791999036,11.095415667005,11.327097417000914,11.346907291997923,11.590049375008675,11.590049375008675,11.828615375008667,11.839988583000377,12.077961792005226,12.0966612080083,12.346099083006266,12.346099083006266,12.590190542003256,12.590190542003256,12.828394916999969,12.847222458003671,13.094836875010515,13.094836875010515,13.339916042008554,13.339916042008554,13.578530750004575,13.589877042002627,13.82741141700535,13.845662000006996,14.089905667002313,14.089905667002313,14.328595541999675,14.340018875009264,14.578233375010313,14.597490458007087,14.85639975000231,14.840830208006082,14.841511457998422,14.85639975000231,14.85639975000231,14.85639975000231,14.85639975000231,16.140322000006563,2,return,1.2777301660098601,None,16.140558958009933,16.15019125000981,16.15019125000981,16.15019125000981,16.15019125000981,17.20692137500737,"
4",return,1.0522758750012144,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
M,K,I,Z,4,1,F,C,X,H,D,L,N,W,N,H,1,2,2,0,4,return,1.754376124998089,None,"
2",return,1.7112745409976924,None,0,2,2,9,17.229864292006823,,,,,,,,,17.22556912500295,17.229864292006823,17.69745808299922,17.728623792005237,17.946454832999734,17.946454832999734,18.19000520800182,18.196990000011283,18.44663987500826,18.44663987500826,18.696869833001983,18.696869833001983,18.94008808300714,18.946734958008165,19.189980625000317,19.197085292005795,19.440000250004232,19.447181042007287,19.69683504200657,19.69683504200657,19.94006854201143,19.946661833004327,20.19301237500622,20.205306333009503,20.446739292005077,20.446739292005077,20.69501000001037,20.69501000001037,20.94339695799863,20.95544470800087,21.197565250011394,21.197565250011394,21.4467004580074,21.4467004580074,21.6899294580071,21.679871333006304,21.680334958000458,21.704729042001418,21.704729042001418,21.704729042001418,21.704729042001418,23.46320574999845,4,return,1.754376124998089,None,23.46361804200569,23.474805500009097,23.474805500009097,23.474805500009097,23.474805500009097,25.190303750001476,"
2",return,1.7112745409976924,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
C,G,T,Q,5,S,O,W,P,S,3,Y,N,O,Q,O,6,3,3,0,5,return,0.7090755819954211,None,"
3",return,1.5325504159991397,None,0,3,3,5,25.21246270800475,,,,,,,,,25.207256875000894,25.21246270800475,25.680196208006237,25.706526916997973,25.930550167002366,25.930550167002366,26.180107667008997,26.180107667008997,26.42329433299892,26.430041333005647,26.679824375009048,26.679824375009048,26.923447958004544,26.929622791998554,27.173351582998293,27.180316083002253,27.423433667005156,27.430984542006627,27.680149583000457,27.680149583000457,27.929777333003585,27.929777333003585,28.17344199999934,28.180102541999076,28.42966658300429,28.42966658300429,28.67336804200022,28.679809125009342,28.9301524170005,28.9301524170005,29.179982417001156,29.179982417001156,29.429357417000574,29.429357417000574,29.67327450000448,29.662905792007223,29.663356792007107,29.689184208007646,29.689184208007646,29.689184208007646,29.689184208007646,30.406961125001544,5,return,0.7090755819954211,None,30.407246625007247,30.41764850000618,30.41764850000618,30.41764850000618,30.41764850000618,31.956953000000794,"
3",return,1.5325504159991397,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
N,P,Q,E,2,T,T,B,H,M,7,N,F,Y,P,Y,6,4,4,0,2,return,1.2090557490009815,None,"
7",return,1.3312232079915702,None,0,4,4,8,31.979402917000698,,,,,,,,,31.975147625009413,31.979402917000698,32.44702325000253,32.47329358301067,32.6957372080069,32.68994658300653,32.94000087500899,32.94647829201131,33.189977041998645,33.1967025000049,33.447044542001095,33.447044542001095,33.69689391700376,33.69689391700376,33.94015412499721,33.94730895799876,34.196919875001186,34.196919875001186,34.446146166999824,34.446146166999824,34.68998383299913,34.696897500005434,34.947879750005086,34.947879750005086,35.196169917006046,35.196169917006046,35.44015000000945,35.447091167006874,35.69021887501003,35.69651991700812,35.93983533300343,35.947013541997876,36.18996825000795,36.19704554200871,36.440001374998246,36.43006383300235,36.43060720800713,36.45515891700052,36.45515891700052,36.45515891700052,36.45515891700052,37.673771957997815,2,return,1.2090557490009815,None,37.67402137500176,37.68397191700933,37.68397191700933,37.68397191700933,37.68397191700933,39.024040083008,"
7",return,1.3312232079915702,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
W,L,A,X,2,6,V,E,F,H,V,K,S,J,B,K,1,5,5,0,6,return,1.1663563740003156,None,"
2",return,0.9954426659969613,None,0,5,5,3,39.04686612500518,,,,,,,,,39.04206108300423,39.04686612500518,39.51395200000843,39.54463812500762,39.76352704199962,39.76352704199962,40.00676379200013,40.01375083300809,40.26246704200457,40.26246704200457,40.50664754200261,40.5129324169975,40.75682045800204,40.763671624998096,41.01377820799826,41.01377820799826,41.264061499998206,41.264061499998206,41.51373141699878,41.51373141699878,41.763068583008135,41.763068583008135,42.013849374998244,42.013849374998244,42.26435087500431,42.26435087500431,42.51333300000988,42.51333300000988,42.75678362500912,42.76383412499854,43.01212995800597,43.01212995800597,43.256722500009346,43.264305250006146,43.52343641700281,43.5075066670106,43.50818995801092,43.52343641700281,43.52343641700281,43.52343641700281,43.52343641700281,44.69723687499936,6,return,1.1663563740003156,None,44.69747233300586,44.70833350000612,44.70833350000612,44.70833350000612,44.70833350000612,45.70710795800551,"
2",return,0.9954426659969613,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
O,E,D,F,2,S,G,3,Z,I,F,X,H,S,J,H,3,6,6,0,2,return,0.7918007069965824,None,"
4",return,1.5604830410011346,None,0,6,6,1,45.729873417003546,,,,,,,,,45.72443958300573,45.729873417003546,46.19766270800028,46.228328500001226,46.4462166250014,46.4462166250014,46.69011725000746,46.69785212499846,46.94726604199968,46.94726604199968,47.19604037499812,47.19604037499812,47.440017667002394,47.44629387500754,47.697098542004824,47.697098542004824,47.94712616701145,47.94712616701145,48.19657400000142,48.19657400000142,48.44709316700755,48.44709316700755,48.696522500002175,48.696522500002175,48.94707812499837,48.94707812499837,49.19705112501106,49.19705112501106,49.44026416700217,49.4469747080002,49.696129000003566,49.696129000003566,49.94714804200339,49.94714804200339,50.190162291997694,50.18042650001007,50.18083708301128,50.20568666700274,50.20568666700274,50.20568666700274,50.20568666700274,51.00613212501048,2,return,0.7918007069965824,None,51.00636954201036,51.01600800000597,51.01600800000597,51.01600800000597,51.01600800000597,52.58013066700369,"
4",return,1.5604830410011346,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
L,Y,C,K,1,E,R,V,F,N,8,Q,D,U,F,F,6,7,7,0,1,return,0.8451254570099991,None,"
8",return,1.3522309580002911,None,0,7,7,11,52.602981208008714,,,,,,,,,52.59819858300034,52.602981208008714,53.073413958001765,53.09627858300519,53.32954062501085,53.3103933329985,53.573335375011084,53.573335375011084,53.81173320800008,53.82971879201068,54.073344375006855,54.073344375006855,54.311785917001544,54.3302689580014,54.57352650001121,54.57352650001121,54.811156625000876,54.83093708301021,55.07967079200898,55.07967079200898,55.3234902920085,55.3234902920085,55.56193291700038,55.58079583301151,55.82780566700967,55.823132375007845,56.06072358301026,56.08041599999706,56.32339962500555,56.32339962500555,56.56159720799769,56.58042991699767,56.83018562500365,56.83018562500365,57.076327875009156,57.06331091700122,57.063735417003045,57.076327875009156,57.076327875009156,57.076327875009156,57.076327875009156,57.92384950000269,1,return,0.8451254570099991,None,57.92408462500316,57.934167125000386,57.934167125000386,57.934167125000386,57.934167125000386,59.28973808301089,"
8",return,1.3522309580002911,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
P,Q,Q,K,9,C,T,8,L,R,P,S,R,T,S,D,3,8,8,0,9,return,1.9268725829897448,None,"
8",return,1.1493131250026636,None,0,8,8,10,59.31423516701034,,,,,,,,,59.30873887499911,59.31423516701034,59.780996292000054,59.8123425829981,60.029440708007314,60.029440708007314,60.27327145800518,60.27975341700949,60.5235871670011,60.530081083008554,60.78084208301152,60.78084208301152,61.029769833010505,61.029769833010505,61.27339679200668,61.27964233300008,61.52350575001037,61.53086045800592,61.780022000006284,61.780022000006284,62.023448833002476,62.03056975000072,62.27973466699768,62.27973466699768,62.523534708001534,62.53042241701041,62.773701917001745,62.780414417007705,63.02975687501021,63.02975687501021,63.27349566700286,63.279631958008395,63.523520583010395,63.53015074999712,63.77338283300924,63.76344504200097,63.76385350000055,63.78913770800864,63.78913770800864,63.78913770800864,63.78913770800864,65.7238890830049,9,return,1.9268725829897448,None,65.72415666699817,65.73472391700489,65.73472391700489,65.73472391700489,65.73472391700489,66.89058429200668,"
8",return,1.1493131250026636,None,,,,,,,,p1,001,2025-11-18_14h07.46.072,experiment trial_1,,2025.1.1,None,2025-11-18 14h07.58.324946 +0530
