stim01,stim02,stim03,stim04,stim05,stim06,stim07,stim08,stim09,stim10,stim11,stim12,stim13,stim14,stim15,stim16,lag,thisN,thisTrialN,thisRepN,textbox.text,key_resp.keys,key_resp.rt,key_resp.duration,textbox_2.text,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,thisRow.t,notes,instructions.started,instrText.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,fixation.started,item01.started,fixation.stopped,item01.stopped,item02.started,item02.stopped,item03.started,item03.stopped,item04.started,item04.stopped,item05.started,item05.stopped,item06.started,item06.stopped,item07.started,item07.stopped,item08.started,item08.stopped,item09.started,item09.stopped,item10.started,item10.stopped,item11.started,item11.stopped,item12.started,item12.stopped,item13.started,item13.stopped,item14.started,item14.stopped,item15.started,item15.stopped,item16.started,item16.stopped,trial.stopped,T1_response.started,respInstr.started,t1Prompt.started,textbox.started,key_resp.started,T1_response.stopped,trialsLoop.textbox.text,trialsLoop.key_resp.keys,trialsLoop.key_resp.rt,trialsLoop.key_resp.duration,T2_response.started,resplnstr_2.started,t2Prompt.started,textbox_2.started,key_resp_2.started,T2_response.stopped,trialsLoop.textbox_2.text,trialsLoop.key_resp_2.keys,trialsLoop.key_resp_2.rt,trialsLoop.key_resp_2.duration,end.started,thanks.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005875832999663544,0.010778750000099535,0.010778750000099535,1.928071791999173,space,1.7370775830004277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
W,L,A,X,2.0,6.0,V,E,F,H,V,K,S,J,B,K,1,0,0,0,2,return,1.7200319999992644,None,"
9",return,1.0632361249990936,None,0,0,0,3,1.9551411669999652,,,,,,,,,1.9474527919992397,1.9551411669999652,2.4307090419988526,2.4570905000000494,2.6768804999992426,2.6768804999992426,2.926498167000318,2.926498167000318,3.176776374999463,3.176776374999463,3.426667666999492,3.426667666999492,3.6758634170000732,3.6758634170000732,3.9265464580003027,3.9265464580003027,4.179857625000295,4.179857625000295,4.4284313329990255,4.4284313329990255,4.6756780830000935,4.6756780830000935,4.926662916999703,4.926662916999703,5.176563208000516,5.176563208000516,5.426430707999316,5.426430707999316,5.674676000000545,5.674676000000545,5.925720625000395,5.925720625000395,6.176370082999711,6.176370082999711,6.437737082998865,6.4188102499992965,6.419385416998921,6.437737082998865,6.437737082998865,6.437737082998865,6.437737082998865,8.167555250000078,2,return,1.7200319999992644,None,8.167815374999918,8.180621083000005,8.180621083000005,8.180621083000005,8.180621083000005,9.25191383299898,"
9",return,1.0632361249990936,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
N,P,Q,E,2.0,T,T,B,H,M,7.0,N,F,Y,P,Y,6,1,1,0,2,return,0.948429333000604,None,"
7",return,1.0752880410000216,None,0,1,1,8,9.274980416999824,,,,,,,,,9.270380124999065,9.274980416999824,9.742158999999447,9.773668333000387,9.990495750000264,9.990495750000264,10.235060499999236,10.24236374999964,10.490434583000024,10.490434583000024,10.734868666999319,10.741596083000331,10.985082041999704,10.992379207998965,11.241620291999425,11.241620291999425,11.484767250000004,11.491224707999208,11.734586167000089,11.74145929199949,11.984994332999122,11.99230499999976,12.241011416999754,12.241011416999754,12.484872041999552,12.491144833000362,12.734890166999321,12.741635874999702,12.991337957999349,12.991337957999349,13.234873166999023,13.241158332999476,13.485015832999125,13.491599082999528,13.73490508299983,13.725301667000167,13.725809583000228,13.750785207999797,13.750785207999797,13.750785207999797,13.750785207999797,14.702057291999154,2,return,0.948429333000604,None,14.702297374999034,14.711920249999821,14.711920249999821,14.711920249999821,14.711920249999821,15.790990916999363,"
7",return,1.0752880410000216,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
C,G,T,Q,5.0,S,O,W,P,S,3.0,Y,N,O,Q,O,6,2,2,0,5,return,1.1578537080004025,None,"
3",return,0.7111977080003271,None,0,2,2,5,15.815899875000468,,,,,,,,,15.810323416999381,15.815899875000468,16.284804208000423,16.30719054200017,16.524068917000477,16.53495083300004,16.77242699999988,16.792056124999363,17.041301332999865,17.041301332999865,17.28495599999951,17.28495599999951,17.52245829200001,17.542140416999246,17.7904247080005,17.784876333000284,18.023895667000033,18.035041416998865,18.27350912499969,18.285155707999365,18.52362783299941,18.53497858300034,18.773724999999104,18.784757166999043,19.0224873749994,19.042232166999383,19.289960292000615,19.28484962499897,19.52299524999944,19.541907541999535,19.789575999999215,19.784852917000535,20.02385108300041,20.03494262499953,20.27469087499958,20.26916762499968,20.26986541699989,20.287971416999426,20.287971416999426,20.287971416999426,20.287971416999426,21.452156875000583,5,return,1.1578537080004025,None,21.452448207999623,21.462571916999877,21.462571916999877,21.462571916999877,21.462571916999877,22.185162416999447,"
3",return,0.7111977080003271,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
S,X,D,O,2.0,L,T,F,Z,A,4.0,A,T,G,I,Z,6,3,3,0,2,return,0.9052653319995443,None,"
4",return,0.7440082910015917,None,0,3,3,2,22.209490041999743,,,,,,,,,22.204434166998908,22.209490041999743,22.67580441700011,22.707246416999624,22.925196416999825,22.925196416999825,23.16835508300028,23.175233707999723,23.425376207998852,23.425376207998852,23.67455204199905,23.67455204199905,23.918216374999247,23.925297542000408,24.174649667000267,24.174649667000267,24.41840349999984,24.425260916999832,24.674370624999938,24.674370624999938,24.91853912499937,24.925652624999202,25.175054957999237,25.175054957999237,25.424899333000212,25.424899333000212,25.66834191700036,25.67543220799962,25.924407167000027,25.924407167000027,26.168282332999297,26.17535074999978,26.42480649999925,26.42480649999925,26.668177707999348,26.658295875000476,26.65869874999953,26.683022666999022,26.683022666999022,26.683022666999022,26.683022666999022,27.591344332999142,2,return,0.9052653319995443,None,27.591578249999657,27.60135129199989,27.60135129199989,27.60135129199989,27.60135129199989,28.35192108299998,"
4",return,0.7440082910015917,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
G,U,Q,C,6.0,5.0,A,Z,E,M,G,M,T,Q,I,X,1,4,4,0,6,return,1.2119838329999766,None,"
7",return,0.8079974579995906,None,0,4,4,6,28.37339154199981,,,,,,,,,28.368125749999308,28.37339154199981,28.84163287499905,28.868237041999237,29.091430582999237,29.091430582999237,29.334991542000353,29.341973708000296,29.585025332999066,29.592137792000358,29.83512645799965,29.84193787500044,30.084893916999135,30.090468667000096,30.335035624999364,30.341936332999467,30.58513604200016,30.592007416998968,30.835010999999213,30.841820457999347,31.090626291999797,31.090626291999797,31.335153250000076,31.342237917000602,31.591874292000284,31.591874292000284,31.840847166999083,31.840847166999083,32.08490945799895,32.091174375000264,32.334984707998956,32.340543750000506,32.584828208000545,32.59130641699994,32.83501849999993,32.82504370800052,32.825441707998834,32.850470166999,32.850470166999,32.850470166999,32.850470166999,34.06763866700021,6,return,1.2119838329999766,None,34.06792691699957,34.07847383300032,34.07847383300032,34.07847383300032,34.07847383300032,34.89151970800049,"
7",return,0.8079974579995906,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
P,Q,Q,K,9.0,C,T,8.0,L,R,P,S,R,T,S,D,3,5,5,0,9,return,1.0293340410007659,None,"
8",return,1.3967052070001955,None,0,5,5,10,34.91330654199919,,,,,,,,,34.9089893750006,34.91330654199919,35.38493554199886,35.40607975000057,35.62395783300053,35.6350174170002,35.87248237499989,35.88983399999961,36.135080000000016,36.135080000000016,36.372384374999456,36.391928666998865,36.63492224999936,36.63492224999936,36.87409229200057,36.88500537499931,37.12259387499944,37.14252708300046,37.39111929200044,37.38500550000026,37.62387554199995,37.642145957999674,37.89229175000037,37.89229175000037,38.140698082999734,38.134963208000045,38.37261149999904,38.39173241699973,38.63448487499954,38.63448487499954,38.8737213330005,38.89202345800004,39.1413094999989,39.1413094999989,39.38493141700019,39.37436675000026,39.37478191700029,39.398787292000634,39.398787292000634,39.398787292000634,39.398787292000634,40.43536912499985,9,return,1.0293340410007659,None,40.43559829200058,40.44543491699915,40.44543491699915,40.44543491699915,40.44543491699915,41.851722166999025,"
8",return,1.3967052070001955,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
M,K,I,Z,4.0,1.0,F,C,X,H,D,L,N,W,N,H,1,6,6,0,4,return,1.2071727910006302,None,"
2",return,0.6696919160003745,None,0,6,6,9,41.87398545799988,,,,,,,,,41.868777542000316,41.87398545799988,42.34229374999995,42.368141332999585,42.59191350000037,42.59191350000037,42.84217887500017,42.84217887500017,43.08469245800006,43.09186908300035,43.3345821669991,43.341731374999654,43.591811624999536,43.591811624999536,43.84209570799976,43.84209570799976,44.09132833299918,44.09132833299918,44.33521208300044,44.34229058299934,44.59192137500031,44.59192137500031,44.83505920800053,44.84133612500045,45.08512445799897,45.09201545799988,45.33509320799931,45.342131291999976,45.59137012499923,45.59137012499923,45.83496770800048,45.84212200000002,46.09222766699895,46.09222766699895,46.35085145799894,46.335970541998904,46.33669091699994,46.35085145799894,46.35085145799894,46.35085145799894,46.35085145799894,47.56876912500047,4,return,1.2071727910006302,None,47.56904849999955,47.578433374999804,47.578433374999804,47.578433374999804,47.578433374999804,48.25213262499892,"
2",return,0.6696919160003745,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
O,E,D,F,2.0,S,G,3.0,Z,I,F,X,H,S,J,H,3,7,7,0,,return,0.7725415410004643,None,"2
",return,0.7181804579995514,None,0,7,7,1,48.27484862500023,,,,,,,,,48.269446832999165,48.27484862500023,48.74254791699968,48.77414362499985,48.994575417000306,48.994575417000306,49.24202979199981,49.24202979199981,49.48542008299955,49.492518375000145,49.741373041999395,49.741373041999395,49.985116333000406,49.991598958000395,50.235008957999526,50.242030333,50.485202333000416,50.492386207999516,50.74114670800009,50.74114670800009,50.98506895799983,50.992162417000145,51.2424028330006,51.2424028330006,51.492067332999795,51.492067332999795,51.73499945799995,51.74128637499962,51.98466612499942,51.99203629200019,52.23520966700016,52.24229274999925,52.4912612499993,52.4912612499993,52.73479766699893,52.72498837499916,52.72540545799893,52.74900412500028,52.74900412500028,52.74900412500028,52.74900412500028,53.52456075000009,,return,0.7725415410004643,None,53.52473883299899,53.551114750000124,53.551114750000124,53.551114750000124,53.551114750000124,54.27424516700012,"2
",return,0.7181804579995514,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
S,X,U,X,4.0,8.0,O,W,F,L,H,S,E,U,F,Z,1,8,8,0,4,return,1.8645791660001123,None,"
9",return,0.770693456999652,None,0,8,8,0,54.30148787500002,,,,,,,,,54.291691041999,54.30148787500002,54.76826437499949,54.7898416249991,55.00733174999914,55.01850183299939,55.256010457998855,55.27536616699945,55.52346812500036,55.51829358299983,55.757120832999135,55.76824016699902,56.00628512500043,56.02592320799886,56.27400991700051,56.26840841699959,56.50607845800005,56.52535516699936,56.76829729199926,56.76829729199926,57.00546779199976,57.0248598750004,57.268492749999496,57.268492749999496,57.50726004199896,57.5185843750005,57.75662849999935,57.775093666999965,58.01864199999909,58.01864199999909,58.256135749999885,58.27516170799936,58.51841512499959,58.51841512499959,58.75837374999901,58.75268362499992,58.75338783299958,58.771690457999284,58.771690457999284,58.771690457999284,58.771690457999284,60.64052591700056,4,return,1.8645791660001123,None,60.640766541999255,60.65041587499945,60.65041587499945,60.65041587499945,60.65041587499945,61.424405542000386,"
9",return,0.770693456999652,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
R,C,T,U,6.0,Z,R,2.0,U,U,D,Q,D,R,W,N,3,9,9,0,6,return,0.6792689159992733,None,"
2",return,0.9926282910000737,None,0,9,9,4,61.44717175000005,,,,,,,,,61.44171774999995,61.44717175000005,61.918406667000454,61.94052824999926,62.15713937500004,62.168679374999556,62.407439832999444,62.4183390420003,62.65600658299991,62.67533999999978,62.92408837499897,62.91850516699924,63.155995791999885,63.175478416998885,63.41843466699902,63.41843466699902,63.65721229200062,63.66854491699996,63.90680062499996,63.918592874999376,64.1561698330006,64.1754982500006,64.42308950000006,64.41829637499904,64.65608925000015,64.67476175000047,64.91839241699927,64.91839241699927,65.15553329199975,65.17458183300005,65.41849012499915,65.41849012499915,65.65590437500032,65.67546000000038,65.93425145800029,65.91893549999986,65.91948845799925,65.93425145800029,65.93425145800029,65.93425145800029,65.93425145800029,66.61909708299936,6,return,0.6792689159992733,None,66.61933183300062,66.62895616700007,66.62895616700007,66.62895616700007,66.62895616700007,67.62561391700001,"
2",return,0.9926282910000737,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
L,Y,C,K,1.0,E,R,V,F,N,8.0,Q,D,U,F,F,6,10,10,0,1,return,1.4222919999992882,None,"
8",return,0.6698322079992067,None,0,10,10,11,67.646609292,,,,,,,,,67.64105495799959,67.646609292,68.12502049999966,68.14133866699922,68.37464824999915,68.37464824999915,68.61851045799995,68.62517387499975,68.87550829199972,68.87550829199972,69.125610916999,69.125610916999,69.37587020799947,69.37587020799947,69.62470874999963,69.62470874999963,69.86843920799947,69.86843920799947,70.1059366669997,70.12543129199912,70.3686083749999,70.3759497079991,70.62279945800037,70.61771962499915,70.85610074999931,70.8743473329996,71.11836120800035,71.12401624999984,71.36856354200063,71.37587520799934,71.6248400000004,71.6248400000004,71.86853837499984,71.87581974999921,72.13405433299886,72.11929583299934,72.11999179200029,72.13405433299886,72.13405433299886,72.13405433299886,72.13405433299886,73.5591625420002,1,return,1.4222919999992882,None,73.55939749999925,73.56956408299993,73.56956408299993,73.56956408299993,73.56956408299993,74.24182016699888,"
8",return,0.6698322079992067,None,,,,,,,,p5,001,2025-11-20_23h48.14.125,experiment trial_1,,2025.1.1,None,2025-11-20 23h48.21.390998 +0530,
