thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,0,down,1,0.6198176670004614,None,0,0,0,0,0.024556374992243946,,0.019497708010021597,0.024556374992243946,1.0024109160003718,1.0206891249981709,1.9555417080118787,0,down,1,0.6198176670004614,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
1,0,1,1,up,1,0.5046659580257256,None,1,0,1,0,2.1328909159929026,,1.9557954579940997,2.1328909159929026,2.955135041003814,3.1213859579875134,3.468920082988916,1,up,1,0.5046659580257256,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
2,0,2,2,up,0,0.5822926660184748,None,2,0,2,0,3.476297290995717,,3.469329374987865,3.476297290995717,4.46552050000173,4.471343957993668,5.05190708299051,2,up,0,0.5822926660184748,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
3,0,3,0,up,0,0.464746167010162,None,3,0,3,0,5.055783707997762,,5.052223458013032,5.055783707997762,6.049031291011488,6.054496500000823,6.5180860410036985,0,up,0,0.464746167010162,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
4,0,4,2,up,1,0.29415087500819936,None,4,0,4,0,6.521925457986072,,6.5183605829952285,6.521925457986072,7.515585665998515,7.515585665998515,7.818641249992652,2,up,1,0.29415087500819936,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
5,0,5,0,up,0,0.2960069580003619,None,5,0,5,0,7.823695750004845,,7.818941290985094,7.823695750004845,8.81562712500454,8.821367458003806,9.118313082988607,0,up,0,0.2960069580003619,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
6,0,6,0,up,1,0.5838960830005817,None,6,0,6,0,9.123108166008024,,9.118528040999081,9.123108166008024,10.115633790992433,10.121572957985336,10.701844666007673,0,up,1,0.5838960830005817,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
7,0,7,0,down,0,0.44852137498673983,None,7,0,7,0,10.70681891599088,,10.70209687500028,10.70681891599088,11.699145124992356,11.704960000002757,12.152480165997986,0,down,0,0.44852137498673983,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
8,0,8,0,up,1,0.4084327089949511,None,8,0,8,0,12.158083540998632,,12.15275425001164,12.158083540998632,13.149191625008825,13.155162457987899,13.56864833299187,0,up,1,0.4084327089949511,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
9,0,9,0,up,1,0.3350115829962306,None,9,0,9,0,13.574007290997542,,13.568926750012906,13.574007290997542,14.565556957997615,14.571132165991003,14.902543625008548,0,up,1,0.3350115829962306,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
10,0,10,-2,down,0,0.5712730000086594,None,10,0,10,0,14.906459791003726,,14.902870040998096,14.906459791003726,15.899186666007154,15.90463545799139,16.472213708009804,-2,down,0,0.5712730000086594,None,pilot,001,2025-09-09_12h23.12.914,orientation discrimination_bhakti,,2025.1.1,None,2025-09-09 12h23.24.317945 +0530,
